iso3,country,year,indicator_code,indicator_name,value,unit,vintage,source
MEX,México,2021,GGXWDG_NGDP,Dívida bruta do governo geral,56.694681,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2022,GGXWDG_NGDP,Dívida bruta do governo geral,53.802726,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2023,GGXWDG_NGDP,Dívida bruta do governo geral,52.752804,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2024,GGXWDG_NGDP,Dívida bruta do governo geral,59.134852,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2025,GGXWDG_NGDP,Dívida bruta do governo geral,61.750875,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2026,GGXWDG_NGDP,Dívida bruta do governo geral,62.680153,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2027,GGXWDG_NGDP,Dívida bruta do governo geral,63.112359,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2028,GGXWDG_NGDP,Dívida bruta do governo geral,63.108985,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2029,GGXWDG_NGDP,Dívida bruta do governo geral,63.27362,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2000,GGXONLB_NGDP,Saldo primário do governo geral,0.326755,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2001,GGXONLB_NGDP,Saldo primário do governo geral,1.127809,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2002,GGXONLB_NGDP,Saldo primário do governo geral,0.80667,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2003,GGXONLB_NGDP,Saldo primário do governo geral,0.611571,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2004,GGXONLB_NGDP,Saldo primário do governo geral,1.365667,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2005,GGXONLB_NGDP,Saldo primário do governo geral,1.268837,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2006,GGXONLB_NGDP,Saldo primário do governo geral,1.362644,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2007,GGXONLB_NGDP,Saldo primário do governo geral,1.02159,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2008,GGXONLB_NGDP,Saldo primário do governo geral,1.970139,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2009,GGXONLB_NGDP,Saldo primário do governo geral,-0.990853,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2010,GGXONLB_NGDP,Saldo primário do governo geral,-1.162668,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2011,GGXONLB_NGDP,Saldo primário do governo geral,-0.684927,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2012,GGXONLB_NGDP,Saldo primário do governo geral,-0.878394,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2013,GGXONLB_NGDP,Saldo primário do governo geral,-0.911562,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2014,GGXONLB_NGDP,Saldo primário do governo geral,-1.684092,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2015,GGXONLB_NGDP,Saldo primário do governo geral,-1.166443,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2016,GGXONLB_NGDP,Saldo primário do governo geral,0.34142,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2017,GGXONLB_NGDP,Saldo primário do governo geral,2.545806,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2018,GGXONLB_NGDP,Saldo primário do governo geral,1.53617,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2019,GGXONLB_NGDP,Saldo primário do governo geral,2.138714,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2020,GGXONLB_NGDP,Saldo primário do governo geral,0.095117,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2021,GGXONLB_NGDP,Saldo primário do governo geral,0.586984,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2022,GGXONLB_NGDP,Saldo primário do governo geral,0.726202,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2023,GGXONLB_NGDP,Saldo primário do governo geral,1.49788,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2024,GGXONLB_NGDP,Saldo primário do governo geral,0.17063,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2025,GGXONLB_NGDP,Saldo primário do governo geral,1.229728,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2026,GGXONLB_NGDP,Saldo primário do governo geral,1.602886,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2027,GGXONLB_NGDP,Saldo primário do governo geral,2.111687,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2028,GGXONLB_NGDP,Saldo primário do governo geral,2.350598,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2029,GGXONLB_NGDP,Saldo primário do governo geral,2.17073,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
CHL,Chile,2000,GGXWDG_NGDP,Dívida bruta do governo geral,13.14564,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
